| Military | South Africa |
| --- | --- |
| Military branches: | South African National Defense Force (SANDF): Army, Navy, Air Force, Joint Operations, Joint Support, Military Intelligence, Military Health Service (2004) |
| Military service age and obligation: | 18 years of age for voluntary military service; women have a long history of military service in non-combat roles - dating back to World War I (2004) |
| Manpower available for military service: | males age 18-49: 10,354,769 (2005 est.) |
| Manpower fit for military service: | males age 18-49: 4,927,757 (2005 est.) |
| Manpower reaching military service age annually: | males: 512,407 (2005 est.) |
| Military expenditures - dollar figure: | $3.172 billion (2004) |
| Military expenditures - percent of GDP: | 1.5% (2004) |
| Military - note: | with the end of apartheid and the establishment of majority rule, former military, black homelands forces, and ex-opposition forces were integrated into the South African National Defense Force (SANDF); as of 2003 the integration process was considered complete |
