| Military | Argentina |
| --- | --- |
| Military branches: | Argentine Army (Ejercito Argentino), Navy of the Argentine Republic (Armada Republica; includes naval aviation and naval infantry), Argentine Air Force (Fuerza Aerea Argentina, FAA) (2009) |
| Military service age and obligation: | 18-24 years of age for voluntary military service (18-21 requires parental permission); no conscription (2001) |
| Manpower available for military service: | males age 16-49: 10,029,488 |
| Manpower available for military service: | females age 16-49: 9,889,002 (2008 est.) |
| Manpower fit for military service: | males age 16-49: 8,264,853 |
| Manpower fit for military service: | females age 16-49: 8,268,498 (2009 est.) |
| Manpower reaching militarily significant age annually: | male: 341,590 |
| Manpower reaching militarily significant age annually: | female: 326,342 (2009 est.) |
| Military expenditures: | 1.3% of GDP (2005 est.) |
| Military - note: | the Argentine military is a well-organized force constrained by the country's prolonged economic hardship; the country has recently experienced a strong recovery, and the military is implementing a modernization plan aimed at making the ground forces lighter and more responsive (2008) |
