| Military and Security | Australia |
| --- | --- |
| Military and security forces: | Australian Defense Force (ADF): Australian Army (includes Special Operations Command), Royal Australian Navy (includes Naval Aviation Force), Royal Australian Air Force, Joint Operations Command (JOC) (2019) |
| Military expenditures: | 1.9% of GDP (2019) |
| Military expenditures: | 1.9% of GDP (2018) |
| Military expenditures: | 2% of GDP (2017) |
| Military expenditures: | 2.1% of GDP (2016) |
| Military expenditures: | 2% of GDP (2015) |
| Military and security service personnel strengths: | the Australian Defense Force has approximately 60,000 total active troops (30,800 Army; 14,700 Navy; 14,300 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the Australian military's inventory includes a mix of domestically-produced and imported Western (mostly US-origin, particularly aircraft) weapons systems; since 2015, the US is the largest supplier of arms, followed by Spain; the Australian defense industry produces a variety of land and sea weapons platforms; the defense industry also participates in joint development and production ventures with other Western countries, including the US and Canada (2019 est.) |
| Military deployments: | 200 Afghanistan (NATO); 750 Middle East (June 2020) |
| Military service age and obligation: | 17 years of age for voluntary military service (with parental consent); no conscription; women allowed to serve in most combat roles (2018) |
