| Military and Security | Namibia |
| --- | --- |
| Military and security forces: | Namibian Defense Force (NDF): Army, Navy, Air Force; Namibian Police Force: Special Field Force (paramilitary unit responsible for protecting borders and government installations) (2019) |
| Military expenditures: | 3% of GDP (2019) |
| Military expenditures: | 3.4% of GDP (2018) |
| Military expenditures: | 3.6% of GDP (2017) |
| Military expenditures: | 3.9% of GDP (2016) |
| Military expenditures: | 4.5% of GDP (2015) |
| Military and security service personnel strengths: | size assessments for the Namibian Defense Force (NDF) vary; approximately 13,000 personnel (11,000 Army; 1,000 Navy; 700 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Namibian Defense Force consists mostly of Soviet-era equipment; China is the leading supplier of weapons to Namibia since 2010 (2019 est.) |
| Military service age and obligation: | 18-25 years of age for voluntary military service; no conscription (2019) |
