| Military and Security | Mexico |
| --- | --- |
| Military expenditures: | 0.54% of GDP (2018) |
| Military expenditures: | 0.47% of GDP (2017) |
| Military expenditures: | 0.56% of GDP (2016) |
| Military expenditures: | 0.66% of GDP (2015) |
| Military expenditures: | 0.66% of GDP (2014) |
| Military and security forces: | Secretariat of National Defense (Secretaria de Defensa Nacional, Sedena): Army (Ejercito), Mexican Air Force (Fuerza Aerea Mexicana, FAM); Secretariat of the Navy (Secretaria de Marina, Semar): Mexican Navy (Armada de Mexico (ARM), includes Naval Air Force (FAN), Mexican Naval Infantry Corps (Cuerpo de Infanteria de Marina, Mexmar or CIM)); Ministry of Security and Citizen Protection: Federal Police, National Guard (2019) |
| Military and security forces: | Note:Â  the National Guard was formed in 2019 and consists of personnel from the Federal Police and military police units of the Army and Navy |
| Military service age and obligation: | 18 years of age for compulsory military service (selection for service determined by lottery), conscript service obligation is 12 months; 16 years of age with consent for voluntary enlistment; cadets enrolled in military schools from the age of 15 are considered members of the armed forces; women are eligible for voluntary military service (2012) |
