| Military and Security | Brunei |
| --- | --- |
| Military expenditures: | 2.37% of GDP (2018) |
| Military expenditures: | 2.87% of GDP (2017) |
| Military expenditures: | 3.54% of GDP (2016) |
| Military expenditures: | 3.28% of GDP (2015) |
| Military expenditures: | 3.08% of GDP (2014) |
| Military and security forces: | Royal Brunei Armed Forces: Royal Brunei Land Force, Royal Brunei Navy, Royal Brunei Air Force. (2019) |
| Military service age and obligation: | 17 years of age for voluntary military service; non-Malays are ineligible to serve; recruits from the army, navy, and air force all undergo 43-week initial training (2013) |
| Military - note: | Brunei has a long-standing defense relationship with the United Kingdom and host a British Army garrison, including a Gurkha battalion and a jungle warfare school.Â Â  There is also a long-term Singaporean military presence. (2019) |
