| Military and Security | BANGLADESH |
| --- | --- |
| Military expenditures: | 1.44% of GDP (2016) |
| Military expenditures: | 1.46% of GDP (2015) |
| Military expenditures: | 1.36% of GDP (2014) |
| Military expenditures: | 1.33% of GDP (2013) |
| Military expenditures: | 1.41% of GDP (2012) |
| Military branches: | Bangladesh Defense Force: Bangladesh Army (Sena Bahini), Bangladesh Navy (Noh Bahini, BN), Bangladesh Air Force (Biman Bahini, BAF) (2013) |
| Military service age and obligation: | 16-19 years of age for voluntary military service; Bangladeshi birth and 10th grade education required; initial obligation 15 years (2012) |
| Maritime threats: | the International Maritime Bureau reports the territorial waters of Bangladesh remain a risk for armed robbery against ships; in 2016, the number of attacks against commercial vessels decreased to three over 11 such incidents in 2015 |
