| Military and Security | Estonia |
| --- | --- |
| Military and security forces: | Estonian Defense Forces: Land Forces, Navy, Air Force, Estonian Defence League (Reserves); Ministry of Interior: Border Guards (2019) |
| Military expenditures: | 2.14% of GDP (2019 est.) |
| Military expenditures: | 2% of GDP (2018) |
| Military expenditures: | 2.03% of GDP (2017) |
| Military expenditures: | 2.07% of GDP (2016) |
| Military expenditures: | 2.02% of GDP (2015) |
| Military and security service personnel strengths: | the Estonian Defense Forces have approximately 6,000 active duty personnel (5,000 Army; 400 Navy; 500 Air Force); est. 15,000 Estonian Defense League (2020 est.) |
| Military equipment inventories and acquisitions: | the Estonian Defense Forces have a limited inventory of Soviet-era and more modern Western weapons systems; France and the Netherlands are the leading suppliers of armaments to Estonia since 2010 (2019 est.) |
| Military deployments: | approximately 100 Mali (Operation Barkhane/MINUSMA/EUTM) (2020) |
| Military service age and obligation: | 18-27 for compulsory military or governmental service, conscript service requirement 8-11 months depending on education; NCOs, reserve officers, and specialists serve 11 months (2016) |
