| Military | Estonia |
| --- | --- |
| Military branches: | Estonian Defense Forces: Ground Forces, Navy, Air Force and Air Defense Staff, Republic Security Forces (internal and border troops), Volunteer Defense League (Kaitseliit), Maritime Border Guard, Coast Guard |
| Military branches: | note: Border Guards and Ministry of Internal Affairs become part of the Estonian Defense Forces in wartime; the Coast Guard is subordinate to the Ministry of Defense in peacetime and the Estonian Navy in wartime |
| Military service age and obligation: | 18 years of age for compulsory military service, with 11-month service obligation; Estonia has committed to retaining conscription for men and women up to 2010; 17 years of age for volunteers (2004) |
| Manpower available for military service: | males age 18-49: 291,696 (2005 est.) |
| Manpower fit for military service: | males age 18-49: 200,382 (2005 est.) |
| Manpower fit for military service: | : note - in 2004, 51% of the young men called up for service were determined to be unfit; main obstacles to conscription were psychiatric and behavioral |
| Manpower reaching military service age annually: | males: 11,146 (2005 est.) |
| Military expenditures - dollar figure: | $155 million (2002 est.) |
| Military expenditures - percent of GDP: | 2% (2002 est.) |
