| Military and Security | ESTONIA |
| --- | --- |
| Military branches: | Estonian Defense Forces (Eesti Kaitsevagi): Land Force (Maavagi), Navy (Merevagi), Air Force (Ohuvagi), Defense League (Kaitseliit) (2012) |
| Military service age and obligation: | 18-27 for compulsory military or governmental service, conscript service requirement 8-11 months depending on education; NCOs, reserve officers, and specialists serve 11 months (2013) |
| Military expenditures: | 2% of GDP (2015) |
| Military expenditures: | 2% of GDP (2014) |
| Military expenditures: | 2% of GDP (2013) |
| Military expenditures: | 1.92% of GDP (2012) |
| Military expenditures: | 1.69% of GDP (2011) |
| Military expenditures: | 1.92% of GDP (2010) |
