| Terrorism | Algeria |
| --- | --- |
| Terrorist groups - home based: | al-Qa'ida in the Islamic Maghreb (AQIM): |
| Terrorist groups - home based: | aim: overthrow various African regimes and replace them with one ruled by sharia; establish a regional Islamic caliphate across all of North and West Africa |
| Terrorist groups - home based: | area(s) of operation: leadership headquartered in Algeria; operates in Tunisia, Libya, and northern Mali |
| Terrorist groups - home based: | note: al-Qa'ida's affiliate in North Africa; Tunisia-based branch known as the Uqbah bin Nafi Battalion; Mali-based cadre merged with allies to form JNIM in March 2017, which pledged allegiance to AQIM and al-Qa'ida (April 2018) |
| Terrorist groups - home based: | Islamic State of Iraq and ash-Sham (ISIS)-Algeria: |
| Terrorist groups - home based: | aim(s): replace the Algerian Government with an Islamic state and implement ISIS's strict interpretation of sharia |
| Terrorist groups - home based: | area(s) of operation: maintains an operational and recruitment presence mostly in the northeast |
| Terrorist groups - home based: | note: formerly known as Jund al-Khilafa - Algeria (JAK-A) (April 2018) |
