| Military | Mozambique |
| --- | --- |
| Military branches: | Mozambique Armed Defense Forces (FADM): Mozambique Army, Mozambique Navy (Marinha Mocambique, MM), Mozambique Air Force (Forca Aerea de Mocambique, FAM) (2006) |
| Military service age and obligation: | 19-35 years of age for compulsory military service; 18 years of age for voluntary service; 2-year service obligation (2009) |
| Manpower available for military service: | males age 16-49: 4,545,975 (2008 est.) |
| Manpower fit for military service: | males age 16-49: 2,366,897 |
| Manpower fit for military service: | females age 16-49: 2,209,764 (2009 est.) |
| Manpower reaching militarily significant age annually: | male: 263,994 |
| Manpower reaching militarily significant age annually: | female: 265,058 (2009 est.) |
| Military expenditures: | 0.8% of GDP (2006) |
