| Terrorism | Gaza Strip |
| --- | --- |
| Terrorist groups - home based: | Army of Islam (AOI): |
| Terrorist groups - home based: | aim(s): stage attacks against Israel and Egypt from the Gaza Strip and, ultimately, establish an Islamic emirate in the region |
| Terrorist groups - home based: | area(s) of operation: headquartered in Gaza; heaviest presence and operational activity is in the Gaza Strip |
| Terrorist groups - home based: | note: operatives have a history of launching low-impact rockets into Israeli and Egyptian territory; the Army of Islam (Jaish al-Islam, JAI) in Syria is unrelated to AOI (April 2018) |
| Terrorist groups - home based: | HAMAS: |
| Terrorist groups - home based: | aim(s): maintain control of the Gaza Strip to facilitate Palestinian nationalist aims |
| Terrorist groups - home based: | area(s) of operation: headquartered in Gaza (April 2018) |
| Terrorist groups - home based: | Mujahidin Shura Council in the Environs of Jerusalem (MSC): |
| Terrorist groups - home based: | aim(s): bolster its staging capabilities in the Gaza Strip against Israel and, ultimately, destroy the state of Israel |
| Terrorist groups - home based: | area(s) of operation: headquartered in Gaza, although present in Egypt, Libya, Syria, and Israel (April 2018) |
| Terrorist groups - home based: | Palestine Islamic Jihad (PIJ): |
| Terrorist groups - home based: | aim(s): enhance its staging capabilities in the Gaza Strip to launch attacks against Israel |
| Terrorist groups - home based: | area(s) of operation: stages rocket attacks against civilians and military personnel primarily in southern Israel (April 2018) |
| Terrorist groups - home based: | Palestine Liberation Front (PLF): |
| Terrorist groups - home based: | aim(s): bolster its staging capabilities in the Gaza Strip against Israel and, ultimately, destroy the state of Israel in order to establish a secular, Marxist Palestinian state with Jerusalem as its capital |
| Terrorist groups - home based: | area(s) of operation: based in Gaza; maintains a recruitment and paramilitary training presence in most of the refugee camps across the Gaza Strip (April 2018) |
| Terrorist groups - home based: | PFLP-General Command (PFLP-GC): |
| Terrorist groups - home based: | aim(s): bolster its staging capabilities to prepare fighters for deployment to Syria and to launch occasional attacks inside Israel; ultimately, seeks to establish a Palestinian state |
| Terrorist groups - home based: | area(s) of operation: headquartered in Gaza; as a longtime supporter of the Syrian Government, the group trains and deploys fighters to Syria to fight on behalf of President Bashar al-ASAD; stages occasional small-scale attacks inside Israel (April 2018) |
| Terrorist groups - home based: | Popular Front for the Liberation of Palestine (PFLP): |
| Terrorist groups - home based: | aim(s): destroy the state of Israel and, ultimately, establish a secular, Marxist Palestinian state |
| Terrorist groups - home based: | area(s) of operation: headquartered in Gaza, recruiting and training fighters; stages limited attacks against Israel (April 2018) |
| Terrorist groups - foreign based: | Abdallah Azzam Brigades (AAB): |
| Terrorist groups - foreign based: | aim(s): bolster its staging capabilities in the Gaza Strip against Israel to continue its attempts to disrupt Israel's economy and its efforts to establish security |
| Terrorist groups - foreign based: | area(s) of operation: launches homemade rockets from the Gaza Strip into populated Israeli territory, primarily the cities of Nahariya and Ashkelon (April 2018) |
| Terrorist groups - foreign based: | al-Aqsa Martyrs Brigade (AAMB): |
| Terrorist groups - foreign based: | aim(s): bolster its staging capabilities in the Gaza Strip against Israel and, ultimately, establish a Palestinian state comprising the West Bank, Gaza Strip, and Jerusalem |
| Terrorist groups - foreign based: | area(s) of operation: stages attacks from the Gaza Strip against Israeli soldiers and civilians inside Israel, including launching rockets and missiles (April 2018) |
| Terrorist groups - foreign based: | Islamic State of Iraq and ash-Sham (ISIS)-Sinai: |
| Terrorist groups - foreign based: | aim(s): bolster its staging capabilities in the Gaza Strip against Israel and, ultimately, establish a regional Islamic caliphate |
| Terrorist groups - foreign based: | area(s) of operation: stages attacks against Egyptian forces along the Gaza Strip-Egypt border and launches rockets into southern Israel from the border closest to Israel |
| Terrorist groups - foreign based: | note: formerly known as Ansar Bayt al-Maqdis (April 2018) |
