| Military and Security | Moldova |
| --- | --- |
| Military and security forces: | National Army: Land Forces Command, Air Forces Command (includes air defense unit); Carabinieri Troops (a component of the Ministry of Internal Affairs that also has official status as a service of the Armed Forces during wartime) (2020) |
| Military expenditures: | 0.4% of GDP (2019) |
| Military expenditures: | 0.4% of GDP (2018) |
| Military expenditures: | 0.4% of GDP (2017) |
| Military expenditures: | 0.45% of GDP (2016) |
| Military expenditures: | 0.4% of GDP (2015) |
| Military and security service personnel strengths: | estimates of the size of the Moldovan National Army vary; approximately 6,000 active troops (5,000 Land Forces; 1,000 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the Moldovan military's inventory is limited and almost entirely comprised of older Russian and Soviet-era equipment; since 2000, it has received small amounts of donated material from other nations, including the US (2019 est.) |
| Military service age and obligation: | 18-27 years of age for compulsory or voluntary military service; male registration required at age 16; 1-year service obligation (2019) |
| Military service age and obligation: | note: Moldova intends to abolish military conscription by 2021 |
