| Military and Security | Mauritius |
| --- | --- |
| Military and security forces: | no regular military forces; Mauritius Police Force includes a Special Mobile Force (a paramilitary force formed as a mobile infantry battalion) and the National Coast Guard (2019) |
| Military expenditures: | 0.2% of GDP (2018) |
| Military expenditures: | 0.2% of GDP (2017) |
| Military expenditures: | 0.2% of GDP (2016) |
| Military expenditures: | 0.2% of GDP (2015) |
| Military expenditures: | 0.2% of GDP (2014) |
| Military and security service personnel strengths: | police paramilitary forces for Mauritius number about 2,500 (est. 1.700 Special Mobile Force; 800 National Coast Guard) (2019 est.) |
| Military equipment inventories and acquisitions: | the Special Mobile Force's inventory includes mostly second-hand equipment from France and the UK; since 2014, India has provided the majority of the Coast Guard's equipment, including patrol boats and aircraft (2019 est.) |
