| Military and Security | Croatia |
| --- | --- |
| Military and security forces: | Armed Forces of the Republic of Croatia (Oruzane Snage Republike Hrvatske, OSRH) consists of five major commands directly subordinate to a General Staff: Ground Forces (Hrvatska Kopnena Vojska, HKoV), Naval Forces (Hrvatska Ratna Mornarica, HRM, includes Coast Guard), Air Force and Air Defense Command (Hrvatsko Ratno Zrakoplovstvo I Protuzracna Obrana), Joint Education and Training Command, Logistics Command; Military Police Force supports each of the three Croatian military forces (2019) |
| Military expenditures: | 1.68% of GDP (2019 est.) |
| Military expenditures: | 1.59% of GDP (2018) |
| Military expenditures: | 1.67% of GDP (2017) |
| Military expenditures: | 1.62% of GDP (2016) |
| Military expenditures: | 1.78% of GDP (2015) |
| Military and security service personnel strengths: | the Armed Forces of the Republic of Croatia have approximately 15,000 active duty personnel (10,000 Army; 1,500 Navy; 1,500 Air force; 2,000 other) (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Croatian Armed Forces consists mostly of Soviet-era equipment, although in recent years, it has attempted to acquire more modern weapon systems from Western suppliers; since 2010, the leading suppliers of military equipment to Croatia are Finland, Germany, and the US (2019 est.) |
| Military service age and obligation: | 18-27 years of age for voluntary military service; conscription abolished in 2008 (2017) |
