| Military | Barbados |
| --- | --- |
| Military branches: | Royal Barbados Defense Force: Troops Command, Barbados Coast Guard (2007) |
| Military service age and obligation: | 18 years of age for voluntary military service; volunteers at earlier age with parental consent; no conscription (2001) |
| Manpower available for military service: | males age 18-49: 71,524 |
| Manpower available for military service: | females age 18-49: 72,302 (2005 est.) |
| Manpower fit for military service: | males age 18-49: 54,510 |
| Manpower fit for military service: | females age 18-49: 54,889 (2005 est.) |
| Military expenditures - percent of GDP: | 0.5% (2006 est.) |
| Military - note: | the Royal Barbados Defense Force includes a land-based Troop Command and a small Coast Guard; the primary role of the land element is to defend the island against external aggression; the Command consists of a single, part-time battalion with a small regular cadre that is deployed throughout the island; it increasingly supports the police in patrolling the coastline to prevent smuggling and other illicit activities (2005) |
