| Military and Security | Montenegro |
| --- | --- |
| Military and security forces: | Armed Forces of the Republic of Montenegro: Army of Montenegro (includes Ground Troops (Kopnena Vojska), Montenegrin Navy (Mornarica Crne Gore, MCG)), Air Force (2019) |
| Military expenditures: | 1.66% of GDP (2019 est.) |
| Military expenditures: | 1.39% of GDP (2018) |
| Military expenditures: | 1.35% of GDP (2017) |
| Military expenditures: | 1.42% of GDP (2016) |
| Military expenditures: | 1.4% of GDP (2015) |
| Military and security service personnel strengths: | the Armed Forces of the Republic of Montenegro have approximately 2,400 total active duty troops (1,400 Army; 400 Navy; 200 Air Force; 400 other) (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Armed Forces of Montenegro is small and consists mostly of equipment inherited from the former Yugoslavia military, with a limited mix of other imported systems, such as French-made helicopters; since 2010, it has received small quantities of equipment from Austria, Turkey, and the US (2019 est.) |
| Military service age and obligation: | 18 is the legal minimum age for voluntary military service; no conscription (2012) |
