| Military | United States |
| --- | --- |
| Military branches: | Department of the Army, Department of the Navy (includes Marine Corps), Department of the Air Force |
| Military branches: | note: the Coast Guard is normally subordinate to the Department of Transportation, but in wartime reports to the Department of the Navy |
| Military manpower - military age: | 18 years of age (2002 est.) |
| Military manpower - availability: | males age 15-49: 73,597,731 (2002 est.) |
| Military manpower - fit for military service: | NA |
| Military manpower - reaching military age annually: | males: 2,093,263 (2002 est.) |
| Military expenditures - dollar figure: | $276.7 billion (FY99 est.) |
| Military expenditures - percent of GDP: | 3.2% (FY99 est.) |
| Military - note: | note: 2002 estimates for military manpower are based on projections that do not take into consideration the results of the 2000 census |
