| Military and Security | Singapore |
| --- | --- |
| Military expenditures: | 3.12% of GDP (2017) |
| Military expenditures: | 3.35% of GDP (2016) |
| Military expenditures: | 3.16% of GDP (2015) |
| Military expenditures: | 3.11% of GDP (2014) |
| Military expenditures: | 3.09% of GDP (2013) |
| Military branches: | Singapore Armed Forces: Army, Navy, Air Force (includes Air Defense) (2013) |
| Military service age and obligation: | 18-21 years of age for male compulsory military service; 16 1/2 years of age for volunteers; 2-year conscript service obligation, with a reserve obligation to age 40 (enlisted) or age 50 (officers) (2012) |
| Maritime threats: | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift; the Singapore Straits saw four attacks against commercial vessels in 2017, a slight increase over the two attacks in 2016 |
