| Military and Security | Hungary |
| --- | --- |
| Military and security forces: | Hungarian Defense Forces: Ground Forces and Hungarian Air Force (2019) |
| Military and security forces: | note: the Hungarian Defense Forces are organized into a joint force structure with ground, air, and logistic components |
| Military expenditures: | 1.21% of GDP (2019 est.) |
| Military expenditures: | 1.15% of GDP (2018) |
| Military expenditures: | 1.05% of GDP (2017) |
| Military expenditures: | 1.02% of GDP (2016) |
| Military expenditures: | 0.92% of GDP (2015) |
| Military and security service personnel strengths: | the Hungarian Defense Forces have approximately 29,000 active duty troops (18,000 Army; 5,000 Air Force; 6,000 other) (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Hungarian Defense Forces consists largely of Soviet-era weapons, with a smaller mix of more modern European and US equipment; since 2010, Hungary has received limited quantities of equipment from Czechia, Finland, France, Germany, Russia, Sweden, and the US (2019 est.) |
| Military deployments: | 160 Bosnia-Herzegovina (EUFOR stabilization force); 150 Iraq (counter-ISIS coalition); 400 Kosovo (NATO) (2020) |
| Military service age and obligation: | 18-25 years of age for voluntary military service; no conscription; 6-month service obligation (2012) |
