| Military and Security | Latvia |
| --- | --- |
| Military and security forces: | National Armed Forces (Nacionalie Brunotie Speki): Land Forces (Latvijas Sauszemes Speki), Naval Force (Latvijas Juras Speki, includes Coast Guard (Latvijas Kara Flote)), Air Force (Latvijas Gaisa Speki), National Guard (2019) |
| Military expenditures: | 2.01% of GDP (2019 est.) |
| Military expenditures: | 2.08% of GDP (2018) |
| Military expenditures: | 1.59% of GDP (2017) |
| Military expenditures: | 1.45% of GDP (2016) |
| Military expenditures: | 1.04% of GDP (2015) |
| Military and security service personnel strengths: | the National Armed Forces of Latvia have approximately 6,000 active duty troops (5,000 Land Forces, inc. joint service personnel and active duty National Guard; 500 Naval Force/Coast Guard; 500 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the Latvian military's inventory is limited and consists of a European, Israeli, and US weapons systems; since 2010, it has received mostly second-hand equipment from Austria, Denmark, Germany, the Netherlands, Sweden, the UK, and the US (2019 est.) |
| Military service age and obligation: | 18 years of age for voluntary male and female military service; no conscription; under current law, every citizen is entitled to serve in the armed forces for life (2017) |
