| Military and Security | Botswana |
| --- | --- |
| Military and security forces: | Botswana Defence Force (BDF): Ground Forces Command, Air Arm Command, Defense Logistics Command (2020) |
| Military expenditures: | 2.8% of GDP (2019) |
| Military expenditures: | 2.8% of GDP (2018) |
| Military expenditures: | 3% of GDP (2017) |
| Military expenditures: | 3.4% of GDP (2016) |
| Military expenditures: | 2.7% of GDP (2015) |
| Military and security service personnel strengths: | the Botswana Defense Force (BDF) has approximately 9,000 active personnel (8,500 Ground; 500 Air) (2019) |
| Military equipment inventories and acquisitions: | the BDF has a mix of foreign-supplied weapons and equipment, largely from European suppliers, as well as the US; since 2010, it has received limited quantities of equipment from Canada, France, Spain, Switzerland, Ukraine, and the US (2019 est.) |
| Military service age and obligation: | 18 is the legal minimum age for voluntary military service; no conscription (2012) |
