| Military | Maldives |
| --- | --- |
| Military branches: | Maldives National Defense Force (MNDF): Quick Reaction Force, Security Protection Group, Coast Guard (2007) |
| Military service age and obligation: | 18 years of age (est.) (2004) |
| Manpower available for military service: | males age 18-49: 71,774 |
| Manpower available for military service: | females age 18-49: 69,229 (2005 est.) |
| Manpower fit for military service: | males age 18-49: 56,687 |
| Manpower fit for military service: | females age 18-49: 54,454 (2005 est.) |
| Military expenditures - percent of GDP: | 5.5% (2005 est.) |
| Military - note: | Maldives has no regular armed forces; the Maldives National Defense Force (MNDF) includes ground forces, the Coast Guard, and a small, undermanned air element; with its small size and with little servable equipment, the MNDF is inadequate to prevent external aggression and is primarily tasked to reinforce the Maldives Police Service (MPS) and ensure security in the exclusive economic zone (2007) |
