| Military and Security | Belgium |
| --- | --- |
| Military and security forces: | Belgian Armed Forces: Land Component, Naval Component, Air Component, Medical Service (2019) |
| Military expenditures: | 0.93% of GDP (2019) |
| Military expenditures: | 0.93% of GDP (2018) |
| Military expenditures: | 0.9% of GDP (2017) |
| Military expenditures: | 0.91% of GDP (2016) |
| Military expenditures: | 0.92% of GDP (2015) |
| Military and security service personnel strengths: | the Belgian Armed Forces have approximately 27,000 active duty personnel (10,500 Army; 1,500 Navy; 5,000 Air Force; 1,200 Medical Service; 9,000 other, including joint staff, support, and training schools) (2019) |
| Military equipment inventories and acquisitions: | the Belgian Armed Forces have a mix of weapons systems from European countries, Israel, and the US; since 2010, France, Germany, and Switzerland are the leading suppliers of armaments; Belgium has an advanced, export-focused defense industry that focuses on components and subcontracting (2019 est.) |
| Military deployments: | 125 France (contributing member of EuroCorps); 100 Mali (EUTM/MINUSMA); est. 260 Baltic States (NATO) (2020) |
| Military service age and obligation: | 18 years of age for male and female voluntary military service; conscription abolished in 1994 (2012) |
| Military - note: | in 2018, the Defense Ministers of Belgium, Denmark and the Netherlands signed a Memorandum of Understanding (MOU) for the creation of a Composite Special Operations Component Command (C-SOCC); the C-SOCC was declared operational in December 2020 |
