| Military and Security | FINLAND |
| --- | --- |
| Military branches: | Finnish Defense Forces (FDF): Army (Puolustusvoimat), Navy (Merivoimat; includes Coastal Defense Forces), Air Force (Ilmavoimat) (2013) |
| Military service age and obligation: | 18 years of age for male voluntary and compulsory - and female voluntary - national military and nonmilitary service; service obligation 6-12 months; military obligation to age 60 (2012) |
| Military expenditures: | 1.37% of GDP (2016 est.) |
| Military expenditures: | 1.29% of GDP (2015) |
| Military expenditures: | 1.3% of GDP (2014) |
| Military expenditures: | 1.41% of GDP (2013) |
| Military expenditures: | 1.47% of GDP (2012) |
| Military expenditures: | 1.42% of GDP (2011) |
