| Military and Security | Brunei |
| --- | --- |
| Military and security forces: | Royal Brunei Armed Forces: Royal Brunei Land Force, Royal Brunei Navy, Royal Brunei Air Force (2019) |
| Military expenditures: | 3.3% of GDP (2019) |
| Military expenditures: | 2.6% of GDP (2018) |
| Military expenditures: | 2.9% of GDP (2017) |
| Military expenditures: | 3.5% of GDP (2016) |
| Military expenditures: | 3.3% of GDP (2015) |
| Military and security service personnel strengths: | the Royal Brunei Armed Forces is comprised of approximately 6,800 total active troops (4,500 Army; 1,200 Navy; 1,100 Air Force) (2019) |
| Military equipment inventories and acquisitions: | the Royal Brunei Armed Forces imports nearly all of its military equipment and weapons systems; the top suppliers since 2010 are France, Germany, and the US (2019 est.) |
| Military service age and obligation: | 17 years of age for voluntary military service; non-Malays are ineligible to serve; recruits from the army, navy, and air force all undergo 43-week initial training (2019) |
| Military - note: | Brunei has a long-standing defense relationship with the United Kingdom and hosts a British Army garrison, which includes a Gurkha battalion and a jungle warfare school; there is also a long-term Singaporean military presence (2019) |
