| Military | Russia |
| --- | --- |
| Military branches: | Ground Forces (SV), Navy (VMF), Air Forces (Voyenno-Vozdushniye Sily, VVS); Airborne Troops (VDV), Strategic Rocket Troops (RVSN), and Space Troops (KV) are independent "combat arms," not subordinate to any of the three branches; Russian Ground Forces include the following combat arms: motorized-rifle troops, tank troops, missile and artillery troops, air defense of ground troops (2007) |
| Military service age and obligation: | 18-27 years of age for compulsory or voluntary military service; males are registered for the draft at 17 years of age; service obligation - 1 year; reserve obligation to age 50 |
| Military service age and obligation: | note: Russia has adopted a mixed conscript-contract force; 30% of Russian army personnel were contract servicemen at the end of 2005; planning calls for volunteer servicemen to compose 70% of armed forces by 2010 with the remaining servicemen consisting of conscripts; as of November 2006, the Armed Forces had more than 60 units manned with contract personnel totaling over 78,000 contract privates and sergeants; 88 Ministry of Defense units have been designated as permanent readiness units and are expected to become all-volunteer by the end of 2007; these include most air force, naval, and nuclear arms units, as well as all airborne and naval infantry units, most motorized rifle brigades, and all special forces detachments; all personnel on ships and submarines will be contract servicemen beginning in 2009; more than 92,000 females serve on active duty with the Russian Armed Forces (2007) |
| Manpower available for military service: | males age 18-49: 35,247,049 |
| Manpower available for military service: | females age 18-49: 35,986,426 (2005 est.) |
| Manpower fit for military service: | males age 18-49: 21,049,651 |
| Manpower fit for military service: | females age 18-49: 29,056,021 (2005 est.) |
| Manpower reaching military service age annually: | males age 18-49: 1,286,069 |
| Manpower reaching military service age annually: | females age 18-49: 1,244,264 (2005 est.) |
| Military expenditures - percent of GDP: | NA |
