| Military and Security | Gambia, The |
| --- | --- |
| Military and security forces: | Gambia Armed Forces: the Gambian National Army (GNA, includes an air wing); Gambia Navy; Republican National Guard (2020) |
| Military expenditures: | 0.8% of GDP (2019) |
| Military expenditures: | 0.7% of GDP (2018) |
| Military expenditures: | 1% of GDP (2015) |
| Military expenditures: | 1.2% of GDP (2014) |
| Military expenditures: | 0.8% of GDP (2013) |
| Military and security service personnel strengths: | estimates for the size of the Gambian National Army (GNA) vary; approximately 3,000 active troops (2019 est.) |
| Military equipment inventories and acquisitions: | the GNA has a limited equipment inventory; the only reported weapons deliveries to the GNA since 2000 are second-hand patrol boats from Taiwan (2009) and one aircraft from Georgia (2004) (2019 est.) |
| Military deployments: | 130 Sudan (UNAMID) (2020) |
| Military service age and obligation: | 18 years of age for male and female voluntary military service; no conscription; service obligation 6 months (2012) |
