| Military and Security | Egypt |
| --- | --- |
| Military expenditures: | 1.25% of GDP (2018) |
| Military expenditures: | 1.42% of GDP (March 2017) |
| Military expenditures: | 1.67% of GDP (2016) |
| Military expenditures: | 1.72% of GDP (2015) |
| Military expenditures: | 1.69% of GDP (2014) |
| Military and security forces: | Egyptian Armed Forces (EAF): Army (includes surface-to-surface missile forces, special forces, Republican Guard), Navy (includes coastal defense, Coast Guard), Air Force, Air Defense Command; Ministry of Interior: Central Security Forces (2019) |
| Military service age and obligation: | 18-30 years of age for male conscript military service; service obligation - 18-36 months, followed by a 9-year reserve obligation; voluntary enlistment possible from age 15 (2017) |
| Military - note: | The Interior Ministry includes the National Guard, Border Guard Forces, Central Security Forces, and the police.Â  (2019) |
