| Military |
| --- | --- |
| Military branches: | South African National Defense Force or SANDF (includes Army, Navy, Air Force, and Medical Services), South African Police Service or SAPS |
| Military manpower - military age: | 18 years of age |
| Military manpower - availability: | males age 15-49: 11,469,812 (2001 est.) |
| Military manpower - fit for military service: | males age 15-49: 6,977,328 (2001 est.) |
| Military manpower - reaching military age annually: | males: 466,399 (2001 est.) |
| Military expenditures - dollar figure: | $2 billion (FY00/01) |
| Military expenditures - percent of GDP: | 1.5% (FY99/00) |
| Military - note: | the National Defense Force continues to integrate former military, black homelands forces, and ex-opposition forces |
