| Military | Kuwait |
| --- | --- |
| Military branches: | Army, Navy, Air Force (including Air Defense Force), National Police Force, National Guard, Coast Guard |
| Military manpower - military age: | 18 years of age (2003 est.) |
| Military manpower - availability: | males age 15-49: 845,026 (2003 est.) |
| Military manpower - fit for military service: | males age 15-49: 508,399 (2003 est.) |
| Military manpower - reaching military age annually: | males: 18,885 (2003 est.) |
| Military expenditures - dollar figure: | $1,967.3 million (FY01) |
| Military expenditures - dollar figure: | note: Kuwait is changing its fiscal year; the above figure is for July-March 2001; future budget years will be April-March annually |
| Military expenditures - percent of GDP: | 5.5% (FY01) |
