| Military and Security | North Macedonia |
| --- | --- |
| Military expenditures: | 1.19% of GDP (2018) |
| Military expenditures: | 0.99% of GDP (2017) |
| Military expenditures: | 0.96% of GDP (2016) |
| Military expenditures: | 1% of GDP (2015) |
| Military expenditures: | 1.09% of GDP (2014) |
| Military and security forces: | Army of the Republic of North Macedonia (ARSM; includes General Staff and subordinate Joint Operational Command, Logistic Support Command, Training and Doctrine Command, Special Ops Regiment, Electronic Surveillance Center, and Air Surveillance Center) (2019) |
| Military and security forces: | Note:Â  The Joint Operations Command includes air, ground, support, and reserve forces. |
| Military service age and obligation: | 18 years of age for voluntary military service; conscription abolished in 2008 (2013) |
