| Military | Iran |
| --- | --- |
| Military branches: | Islamic Republic of Iran Regular Forces (Artesh): Ground Forces, Navy, Air Force (includes Air Defense) |
| Military branches: | Islamic Revolutionary Guard Corps (Sepah-e Pasdaran-e Enqelab-e Eslami, IRGC): Ground Forces, Navy, Air Force, Qods Force (special operations), and Basij Force (Popular Mobilization Army) |
| Military branches: | Law Enforcement Forces: (2004) |
| Military service age and obligation: | 18 years of age for compulsory military service; 16 years of age for volunteers; soldiers as young as 9 were recruited extensively during the Iran-Iraq War; conscript service obligation - 18 months (2004) |
| Manpower available for military service: | males age 18-49: 18,319,545 (2005 est.) |
| Manpower fit for military service: | males age 18-49: 15,665,725 (2005 est.) |
| Manpower reaching military service age annually: | males: 862,056 (2005 est.) |
| Military expenditures - dollar figure: | $4.3 billion (2003 est.) |
| Military expenditures - percent of GDP: | 3.3% (2003 est.) |
