| Military and Security | Bosnia and Herzegovina |
| --- | --- |
| Military and security forces: | Armed Forces of Bosnia and Herzegovina (Oruzanih Snaga Bosne i Hercegovine, OSBiH): Operations Command (includes Army, Air, and Air Defense units), Support Command (2019) |
| Military expenditures: | 0.9% of GDP (2019) |
| Military expenditures: | 0.9% of GDP (2018) |
| Military expenditures: | 0.9% of GDP (2017) |
| Military expenditures: | 0.9% of GDP (2016) |
| Military expenditures: | 1% of GDP (2015) |
| Military and security service personnel strengths: | the Armed Forces of Bosnia and Herzegovina have approximately 9,200 active duty personnel (2019) |
| Military equipment inventories and acquisitions: | the inventory for the Armed Forces of Bosnia and Herzegovina includes mainly Soviet-era weapons systems with a small mix of older European and US equipment (2019 est.) |
| Military service age and obligation: | 18 years of age for voluntary military service; mandatory retirement at age 35 or after 15 years of service for E-1 through E-4, mandatory retirement at age 50 and 30 years of service for E-5 through E-9, mandatory retirement at age 55 and 30 years of service for all officers (2014) |
