| Military and Security | Slovenia |
| --- | --- |
| Military and security forces: | Slovenian Armed Forces (Slovenska Vojska, SV): structured as a combined Force Command with air, land, logistical, maritime, support, and training components (2019) |
| Military expenditures: | 1.04% of GDP (2019 est.) |
| Military expenditures: | 1.01% of GDP (2018) |
| Military expenditures: | 0.98% of GDP (2017) |
| Military expenditures: | 1.01% of GDP (2016) |
| Military expenditures: | 0.93% of GDP (2015) |
| Military and security service personnel strengths: | the Slovenian Armed Forces have approximately 7,000 active duty troops, including ground, air, and maritime elements (June 2020) |
| Military equipment inventories and acquisitions: | the inventory of the Slovenian Armed Forces is a mix of Soviet-era and limited quantities of more modern Western equipment; since 2010, it has received weapons systems from Finland, Russia, and the US (2019 est.) |
| Military deployments: | 230 Kosovo (NATO) (2020) |
| Military service age and obligation: | 18-25 years of age for voluntary military service; conscription abolished in 2003 (2013) |
