| Military | Indonesia |
| --- | --- |
| Military branches: | Indonesia Armed Forces (Tentara Nasional Indonesia, TNI): Army (TNI-AD), Navy (TNI-AL, includes marines, naval air arm), Air Force (TNI-AU) |
| Military branches: | note: the TNI is directly subordinate to the president but the government is making efforts to incorporate it into the Department of Defense |
| Military service age and obligation: | 18 years of age for compulsory and voluntary military service; conscript service obligation - two years (2002) |
| Manpower available for military service: | males age 18-49: 60,543,028 |
| Manpower available for military service: | females age 18-49: 59,981,730 (2005 est.) |
| Manpower fit for military service: | males age 18-49: 48,687,234 |
| Manpower fit for military service: | females age 18-49: 50,252,911 (2005 est.) |
| Manpower reaching military service age annually: | males age 18-49: 2,201,047 |
| Manpower reaching military service age annually: | females age 18-49: 2,139,573 (2005 est.) |
| Military expenditures - dollar figure: | $1.3 billion (2004) |
| Military expenditures - percent of GDP: | 3% (2004) |
