| Military | Georgia |
| --- | --- |
| Military branches: | Georgian Armed Forces: Land Forces |
| Military branches: | note: naval forces have been incorporated into the coast guard and the Air and Air Defense forces were incorporated into the Land Forces (2010) |
| Military service age and obligation: | 18 to 34 years of age for compulsory and voluntary active duty military service; conscript service obligation - 18 months (2005) |
| Manpower available for military service: | males age 16-49: 1,094,390 |
| Manpower available for military service: | females age 16-49: 1,140,758 (2010 est.) |
| Manpower fit for military service: | males age 16-49: 901,307 |
| Manpower fit for military service: | females age 16-49: 946,357 (2010 est.) |
| Manpower reaching militarily significant age annually: | male: 30,314 |
| Manpower reaching militarily significant age annually: | female: 28,299 (2010 est.) |
| Military expenditures: | 1.9% of GDP (2010 est.) |
| Military - note: | a CIS peacekeeping force of Russian troops is deployed in the Abkhazia region of Georgia together with a UN military observer group; a Russian peacekeeping battalion is deployed in South Ossetia |
