| Military and Security | GEORGIA |
| --- | --- |
| Military expenditures: | 2.23% of GDP (2016) |
| Military expenditures: | 2.34% of GDP (2015) |
| Military expenditures: | 2.26% of GDP (2014) |
| Military expenditures: | 2.53% of GDP (2013) |
| Military expenditures: | 3.1% of GDP (2012) |
| Military branches: | Georgian Armed Forces: Land Forces (include Air and Air Defense Forces); separatist Abkhazia Armed Forces: Ground Forces, Air Forces; separatist South Ossetia Armed Forces |
| Military branches: | note: Georgian naval forces have been incorporated into the Coast Guard, which is part of the Ministry of Internal Affairs rather than the Ministry of Defense (2015) |
| Military service age and obligation: | 18 to 27 years of age for compulsory and voluntary active duty military service; conscript service obligation is 12 months (2014) |
