| Military and Security | Bangladesh |
| --- | --- |
| Military expenditures: | 1.37% of GDP (2018) |
| Military expenditures: | 1.38% of GDP (2017) |
| Military expenditures: | 1.44% of GDP (2016) |
| Military expenditures: | 1.46% of GDP (2015) |
| Military expenditures: | 1.36% of GDP (2014) |
| Military and security forces: | Bangladesh Defense Force: Bangladesh Army, Bangladesh Navy, Bangladesh Air Force (2019) |
| Military service age and obligation: | 16-21 years of age for voluntary military service; Bangladeshi nationality and 10th grade education required; officers: 17-21 years of age, Bangladeshi nationality, and 12th grade education required (2018) |
| Maritime threats: | the International Maritime Bureau reports the territorial waters of Bangladesh remain a risk for armed robbery against ships; in 2018, the number of attacks against commercial vessels increased to 12 over the 11 such incidents in 2017 |
