| Military and Security | Bangladesh |
| --- | --- |
| Military expenditures: | 1.44% of GDP (2017) |
| Military expenditures: | 1.44% of GDP (2016) |
| Military expenditures: | 1.46% of GDP (2015) |
| Military expenditures: | 1.36% of GDP (2014) |
| Military expenditures: | 1.33% of GDP (2013) |
| Military branches: | Bangladesh Defense Force: Bangladesh Army (Sena Bahini), Bangladesh Navy (Noh Bahini, BN), Bangladesh Air Force (Biman Bahini, BAF) (2013) |
| Military service age and obligation: | 16-21 years of age for voluntary military service; Bangladeshi nationality and 10th grade education required; officers: 17-21 years of age, Bangladeshi nationality, and 12th grade education required (2018) |
| Maritime threats: | the International Maritime Bureau reports the territorial waters of Bangladesh remain a risk for armed robbery against ships; in 2017, the number of attacks against commercial vessels increased to 11 over three such incidents in 2016 |
