| Military and Security | Romania |
| --- | --- |
| Military expenditures: | 2.04% of GDP (2019 est.) |
| Military expenditures: | 1.82% of GDP (2018) |
| Military expenditures: | 1.72% of GDP (2017) |
| Military expenditures: | 1.4% of GDP (2016) |
| Military expenditures: | 1.45% of GDP (2015) |
| Military and security forces: | Romanian Armed Forces:Â  Land Forces, Naval Forces, Air Force (2019) |
| Military service age and obligation: | conscription ended 2006; 18 years of age for male and female voluntary service; all military inductees (including women) contract for an initial 5-year term of service, with subsequent successive 3-year terms until age 36 (2015) |
| Military - note: | Ministry of Internal Affairs:Â  Gendarmerie |
