| Military and Security | POLAND |
| --- | --- |
| Military branches: | Polish Armed Forces: Land Forces, Navy, Air and Air Defense Aviation Forces, Special Forces (2013) |
| Military service age and obligation: | 18-28 years of age for male and female voluntary military service; conscription phased out in 2009-12; service obligation shortened from 12 to 9 months in 2005; women only allowed to serve as officers and noncommissioned officers (2013) |
| Military expenditures: | 2% of GDP (2016) |
| Military expenditures: | 2.27% of GDP (2015) |
| Military expenditures: | 1.95% of GDP (2014) |
| Military expenditures: | 1.95% of GDP (2013) |
| Military expenditures: | 1.91% of GDP (2012) |
| Military expenditures: | 1.83% of GDP (2011) |
