| Military and Security | Singapore |
| --- | --- |
| Military expenditures: | 3.3% of GDP (2019) |
| Military expenditures: | 3.14% of GDP (2018) |
| Military expenditures: | 3.16% of GDP (2017) |
| Military expenditures: | 3.19% of GDP (2016) |
| Military expenditures: | 3.09% of GDP (2015) |
| Military and security forces: | Singapore Armed Forces: Singapore Army, Republic of Singapore Navy, Republic of Singapore Air Force (includes Air Defense);Â  Police Coast Guard (subordinate to the Singapore Police Force) (2019) |
| Military service age and obligation: | 18-21 years of age for male compulsory military service; 16 1/2 years of age for voluntary enlistment (with parental consent); 2-year conscript service obligation, with a reserve obligation to age 40 (enlisted) or age 50 (officers) (2019) |
| Maritime threats: | the International Maritime Bureau reports the territorial and offshore waters in the South China Sea as high risk for piracy and armed robbery against ships; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; hijacked vessels are often disguised and cargo diverted to ports in East Asia; crews have been murdered or cast adrift; the Singapore Straits saw three attacks against commercial vessels in 2018, a slight decrease from the four attacks in 2017 (2018) |
