| Terrorism | Egypt |
| --- | --- |
| Terrorist groups - home based: | Harakat Sawaâ€™d Misr (HASM): aim(s): overthrow the Egyptian Government |
| Terrorist groups - home based: | area(s) of operation: Cairo, Nile Delta, Western Desert (2018) |
| Terrorist groups - home based: | Islamic State of Iraq and ash-Sham (ISIS)-Sinai Province: aim(s): spread the ISIS caliphate by eliminating the Egyptian Government, destroying Israel, and establishing an Islamic emirate in the Sinai |
| Terrorist groups - home based: | area(s) of operation: operations are based out of the Sinai Peninsula, but its reach extends to Cairo, the Egyptian Nile Valley, and Gaza; operations mainly target Egyptian security forces, but also include attacks on civilians, as well as kidnappings |
| Terrorist groups - home based: | note: formerly known as Ansar Bayt al-Maqdis; core ISIS refers to Egypt as its Wilayat Sinai (2018) |
| Terrorist groups - home based: | Liwa al-Thawra: aim(s): overthrow the Egyptian Government |
| Terrorist groups - home based: | area(s) of operation: Cairo, Monofeya, and Qalyubia governorates (2019) |
| Terrorist groups - foreign based: | al-Qa'ida (AQ): aim(s): overthrow the Egyptian Government and, ultimately, establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| Terrorist groups - foreign based: | area(s) of operation: maintains a longtime operational presence and established networks (2018) |
| Terrorist groups - foreign based: | Army of Islam (AOI): aim(s): disrupt the Egyptian Government's efforts to provide security and, ultimately, establish an Islamic caliphate |
| Terrorist groups - foreign based: | area(s) of operation:Â operational mainly in Cairo and the Sinai Peninsula |
| Terrorist groups - foreign based: | note: associated with ISIS-Sinai Province; targets Israeli Government interests, sometimes in collaboration with the Mujahidin Shura Council in the Environs of Jerusalem (2018) |
