| Terrorism | Egypt |
| --- | --- |
| Terrorist groups - home based: | Harakat Sawaâ€™d Misr (HASM): |
| Terrorist groups - home based: | aim(s): overthrow the Egyptian Government |
| Terrorist groups - home based: | area(s) of operation: Cairo, Nile Delta, Western Desert (April 2018) |
| Terrorist groups - home based: | Islamic State of Iraq and ash-Sham (ISIS)-Sinai: |
| Terrorist groups - home based: | aim(s): spread the ISIS caliphate by eliminating the Egyptian Government, destroying Israel, and establishing an Islamic emirate in the Sinai |
| Terrorist groups - home based: | area(s) of operation: operational throughout Egypt, primarily in North Sinai |
| Terrorist groups - home based: | note: formerly known as Ansar Bayt al-Maqdis; core ISIS refers to Egypt as its Wilayat Sinai (April 2018) |
| Terrorist groups - home based: | Liwa al-Thawra: |
| Terrorist groups - home based: | aim(s): overthrow the Egyptian Government |
| Terrorist groups - home based: | area(s) of operation: Nile Delta (April 2018) |
| Terrorist groups - foreign based: | al-Qa'ida (AQ): |
| Terrorist groups - foreign based: | aim(s): overthrow the Egyptian Government and, ultimately, establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| Terrorist groups - foreign based: | area(s) of operation: maintains a longtime operational presence and established networks (April 2018) |
| Terrorist groups - foreign based: | Army of Islam (AOI): |
| Terrorist groups - foreign based: | aim(s): disrupt the Egyptian Government's efforts to provide security and, ultimately, establish an Islamic caliphate |
| Terrorist groups - foreign based: | area(s) of operation:Â operational mainly in Cairo and the Sinai Peninsula |
| Terrorist groups - foreign based: | note: associated with ISIS Sinai Province (formerly known as Ansar Bayt al-Maqdis); targets Israeli Government interests, sometimes in collaboration with the Mujahidin Shura Council in the Environs of Jerusalem (April 2018) |
