| Military and Security | SPAIN |
| --- | --- |
| Military expenditures: | 0.91% of GDP (2017) |
| Military expenditures: | 1.21% of GDP (2016) |
| Military expenditures: | 1.18% of GDP (2015) |
| Military expenditures: | 1.23% of GDP (2014) |
| Military expenditures: | 1.26% of GDP (2013) |
| Military expenditures: | 1.41% of GDP (2012) |
| Military branches: | Spanish Armed Forces: Army (Ejercito de Tierra), Spanish Navy (Armada Espanola, AE, includes Marine Corps), Spanish Air Force (Ejercito del Aire Espanola, EdA) (2013) |
| Military service age and obligation: | 18-26 years of age for voluntary military service by a Spanish citizen or legal immigrant, 2-3 year obligation; women allowed to serve in all SAF branches, including combat units; no conscription, but Spanish Government retains right to mobilize citizens 19-25 years of age in a national emergency; mandatory retirement of non-NCO enlisted personnel at age 45 or 58, depending on service length (2013) |
