| Military and Security | Norway |
| --- | --- |
| Military and security forces: | Norwegian Armed Forces:Â  Norwegian Army (Haeren), Royal Norwegian Navy (Kongelige Norske Sjoeforsvaret; includes Coastal Rangers and Coast Guard (Kystvakt)), Royal Norwegian Air Force (Kongelige Norske Luftforsvaret), Home Guard (Heimevernet, HV) (2020) |
| Military expenditures: | 1.8% of GDP (2019 est.) |
| Military expenditures: | 1.73% of GDP (2018) |
| Military expenditures: | 1.71% of GDP (2017) |
| Military expenditures: | 1.73% of GDP (2016) |
| Military expenditures: | 1.59% of GDP (2015) |
| Military and security service personnel strengths: | the Norwegian Armed Forces have approximately 23,000 active personnel (8,400 Army; 3,500 Navy; 3,500 Air Force; 600 active Home Guard; 7,000 other, including special operations, cyber, joint staff, intelligence, logistics support, etc.) (2020) |
| Military and security service personnel strengths: | note: the Home Guard has approximately 40,000 total personnel |
| Military equipment inventories and acquisitions: | the Norwegian Armed Forces inventory includes mostly imported European and US weapons systems, as well as a limited mix of domestically-produced equipment, particularly small naval craft; since 2010, the US is the leading supplier of weapons systems to Norway, followed by France, Italy, South Korea, and Spain (2019 est.) |
| Military deployments: | 120 Lithuania (NATO) (2020) |
| Military service age and obligation: | 19-35 years of age for male and female selective compulsory military service; 17 years of age for male volunteers (16 in wartime); 18 years of age for women; 19-month service obligation; conscripts first serve 12 months from 19-28, and then up to 4-5 refresher training periods until age 35, 44, 55, or 60 depending on rank and function. (2019) |
