| Military | Russia |
| --- | --- |
| Military branches: | Ground Forces (Sukhoputnyye Voyskia, SV), Navy (Voyenno-Morskoy Flot, VMF), Air Forces (Voyenno-Vozdushniye Sily, VVS); Airborne Troops (VDV), Strategic Rocket Forces (Raketnyye Voyska Strategicheskogo Naznacheniya, RVSN), and Space Troops (Kosmicheskiye Voyska, KV) are independent "combat arms," not subordinate to any of the three branches; Russian Ground Forces include the following combat arms: motorized-rifle troops, tank troops, missile and artillery troops, air defense of the ground troops (2010) |
| Military service age and obligation: | 18-27 years of age for compulsory or voluntary military service; males are registered for the draft at 17 years of age; service obligation - 1 year (conscripts can only be sent to combat zones after 6 months training); reserve obligation to age 50 |
| Military service age and obligation: | note: over 60% of draft-age Russian males receive some type of deferment - generally health related - each draft cycle (2011) |
| Manpower available for military service: | males age 16-49: 34,132,156 |
| Manpower available for military service: | females age 16-49: 34,985,115 (2010 est.) |
| Manpower fit for military service: | males age 16-49: 20,431,035 |
| Manpower fit for military service: | females age 16-49: 26,381,518 (2010 est.) |
| Manpower reaching militarily significant age annually: | male: 693,843 |
| Manpower reaching militarily significant age annually: | female: 660,359 (2010 est.) |
| Military expenditures: | 3.9% of GDP (2005) |
