| Military | Equatorial Guinea |
| --- | --- |
| Military branches: | Equatorial Guinea Armed Forces (FAGE): Equatorial Guinea National Guard (Guardia Nacional de Guinea Ecuatorial, GNGE (Army); Navy; Air Force (2013) |
| Military service age and obligation: | 18 years of age for selective compulsory military service, although conscription is rare in practice; 2-year service obligation; women hold only administrative positions in the Navy (2013) |
| Manpower available for military service: | males age 16-49: 151,147 |
| Manpower available for military service: | females age 16-49: 150,345 (2010 est.) |
| Manpower fit for military service: | males age 16-49: 113,277 |
| Manpower fit for military service: | females age 16-49: 115,320 (2010 est.) |
| Manpower reaching militarily significant age annually: | male: 7,398 |
| Manpower reaching militarily significant age annually: | female: 7,126 (2010 est.) |
