| Military and Security | SAUDI ARABIA |
| --- | --- |
| Military branches: | Ministry of Defense: Royal Saudi Land Forces, Royal Saudi Naval Forces (includes Marine Forces and Special Forces), Royal Saudi Air Force (Al-Quwwat al-Jawwiya al-Malakiya as-Sa'udiya), Royal Saudi Air Defense Forces, Royal Saudi Strategic Rocket Forces, Ministry of the National Guard (SANG) (2015) |
| Military service age and obligation: | 17 is the legal minimum age for voluntary military service; no conscription (2012) |
| Military expenditures: | 12.6% of GDP (2015 planned) |
| Military expenditures: | 10.7% of GDP (2014 planned) |
| Military expenditures: | 9.4% of GDP (2013) |
| Military expenditures: | 7.98% of GDP (2012) |
| Military expenditures: | 7.25% of GDP (2011) |
| Military expenditures: | 7.98% of GDP (2010) |
