| Military | Mozambique |
| --- | --- |
| Military branches: | Mozambique Armed Defense Forces (FADM): Mozambique Army, Mozambique Navy (Marinha de Guerra, MdG), Mozambique Air Force (Forca Aerea de Mocambique, FAM) (2008) |
| Military service age and obligation: | registration for military service is mandatory for all males and females at 18 years of age; 18-35 years of age for selective compulsory military service; 18 years of age for voluntary service; 2-year service obligation; women may serve as officers or enlisted (2010) |
| Manpower available for military service: | males age 16-49: 4,787,832 (2010 est.) |
| Manpower fit for military service: | males age 16-49: 2,448,161 |
| Manpower fit for military service: | females age 16-49: 2,269,562 (2010 est.) |
| Manpower reaching militarily significant age annually: | male: 272,922 |
| Manpower reaching militarily significant age annually: | female: 272,062 (2010 est.) |
| Military expenditures: | 0.8% of GDP (2006) |
