| Military and Security | Jordan |
| --- | --- |
| Military expenditures: | 4.68% of GDP (2018) |
| Military expenditures: | 4.8% of GDP (2017) |
| Military expenditures: | 4.58% of GDP (2016) |
| Military expenditures: | 4.31% of GDP (2015) |
| Military expenditures: | 4.32% of GDP (2014) |
| Military and security forces: | Jordanian Armed Forces (JAF): Royal Jordanian Army (includes Special Operations Forces, Border Guards, Royal Guard), Royal Jordanian Navy, Royal Jordanian Air Force (2019) |
| Military service age and obligation: | 17 years of age for voluntary male military service; initial service term 2 years, with option to reenlist for 18 years; conscription at age 18 suspended in 1999; women are not conscripted, but can volunteer to serve in noncombat military positions in the Royal Jordanian Arab Army Women's Corps and RJAF (2013) |
| Military - note: | Ministry of Interior:Â  General Directorate of Gendarmerie Forces, Public Security Directorate (2019) |
