| Military and Security | Nicaragua |
| --- | --- |
| Military and security forces: | Army of Nicaragua (Ejercito de Nicaragua, EN; includes Navy, Air Force) (2020) |
| Military expenditures: | 0.7% of GDP (2019) |
| Military expenditures: | 0.6% of GDP (2018) |
| Military expenditures: | 0.6% of GDP (2017) |
| Military expenditures: | 0.6% of GDP (2016) |
| Military expenditures: | 0.8% of GDP (2015) |
| Military and security service personnel strengths: | the Army of Nicaragua has approximately 12,000 active personnel (10,000 Army; 800 Navy; 1,200 Air Force) (2019 est.) |
| Military equipment inventories and acquisitions: | the Nicaraguan military's inventory includes mostly Russian/Soviet-era equipment; since 2010, Russia is the leading arms supplier to Nicaragua (2019 est.) |
| Military service age and obligation: | 18-30 years of age for voluntary military service; no conscription; tour of duty 18-36 months; requires Nicaraguan nationality and 6th-grade education (2017) |
