| Military and Security | Netherlands |
| --- | --- |
| Military and security forces: | Royal Netherlands Army, Royal Netherlands Navy (includes Naval Air Service and Marine Corps), Royal Netherlands Air Force (Koninklijke Luchtmacht, KLu), Royal Netherlands Marechaussee (Military Constabulary) (2019) |
| Military and security forces: | note: the Netherlands Coast Guard and the Dutch Caribbean Coast Guard are civilian in nature, but managed by the Royal Netherlands Navy |
| Military expenditures: | 1.36% of GDP (2019 est.) |
| Military expenditures: | 1.21% of GDP (2018) |
| Military expenditures: | 1.15% of GDP (2017) |
| Military expenditures: | 1.16% of GDP (2016) |
| Military expenditures: | 1.13% of GDP (2015) |
| Military and security service personnel strengths: | the Netherlands Armed Forces have approximately 41,000 active duty personnel (19,000 Army; 8,500 Navy; 8,000 Air Force; 5,800 Constabulary) (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Netherlands Armed Forces consists of a mix of domestically-produced and modern European- and US-sourced equipment; since 2010, the US is the leading supplier of weapons systems to the Netherlands, followed by Germany, Italy, and Sweden; the Netherlands has an advanced domestic defense industry that focuses on armored vehicles, naval ships, and air defense systems; it also participates with the US and other European countries on joint development and production of advanced weapons systems (2019) |
| Military deployments: | 160 Afghanistan (NATO); 270 Lithuania (NATO) (2020) |
| Military service age and obligation: | 17 years of age for an all-volunteer force (2016) |
| Military - note: | in 2018, the Defense Ministers of Belgium, Denmark and the Netherlands signed a Memorandum of Understanding (MOU) for the creation of a Composite Special Operations Component Command (C-SOCC); the C-SOCC was declared operational in December 2020 |
