| Military and Security | Tanzania |
| --- | --- |
| Military expenditures: | 1.14% of GDP (2016) |
| Military expenditures: | 1.13% of GDP (2015) |
| Military expenditures: | 1.05% of GDP (2014) |
| Military expenditures: | 1% of GDP (2013) |
| Military expenditures: | 0.93% of GDP (2012) |
| Military branches: | Tanzania People's Defense Force (Jeshi la Wananchi la Tanzania, JWTZ): Army, Naval Wing (includes Coast Guard), Air Defense Command (includes Air Wing), National Service (2007) |
| Military service age and obligation: | 18 years of age for voluntary military service; no conscription (2012) |
| Maritime threats: | the International Maritime Bureau reports that shipping in territorial and offshore waters in the Indian Ocean remain at risk for piracy and armed robbery against ships, especially as Somali-based pirates extend their activities south; numerous commercial vessels have been attacked and hijacked both at anchor and while underway; crews have been robbed and stores or cargoes stolen |
