| Terrorism | Turkey |
| --- | --- |
| Terrorist groups - home based: | Islamic State of Iraq and ash-Sham (ISIS) networks in Turkey: aim(s): replace the Turkish Government with an Islamic state and implement ISIS's strict interpretation of sharia |
| Terrorist groups - home based: | area(s) of operation: moves fighters and supplies across the Turkey-Syria border; has periodically conducted attacks against civilian and government security targets (2018) |
| Terrorist groups - home based: | Revolutionary People's Liberation Party/Front (DHKP/C): aim(s): install a Marxist-Leninist government in Turkey |
| Terrorist groups - home based: | area(s) of operation: membership centered in Turkey, leadership primarily spread throughout Europe; in recent years has revived its attacks against Turkish Government elements, primarily in Istanbul; outlawed in Turkey (2018) |
| Terrorist groups - foreign based: | al-Nusrah Front: aim(s): overthrow Syrian President Bashar al-ASAD's regime, absorb like-minded Syrian rebel groups, and ultimately, establish a regional Islamic caliphate |
| Terrorist groups - foreign based: | area(s) of operation: some facilitation networks (2018) |
| Terrorist groups - foreign based: | al-Qa'ida (AQ): aim(s): radicalize the Turkish populace and eventually overthrow the Turkish Government as part of a long-term plan to establish a pan-Islamic caliphate under a strict Salafi Muslim interpretation of sharia |
| Terrorist groups - foreign based: | area(s) of operation: maintains facilitation networks (2018) |
| Terrorist groups - foreign based: | Kurdistan Workers' Party (PKK): aim(s): advance Kurdish autonomy, political, and cultural rights in Turkey, Iran, Iraq, and Syria |
| Terrorist groups - foreign based: | area(s) of operation: operational predominantly in the southeast; the group's primary targets include government, military, and security personnel and facilities; majority of members inside Turkey are Turkish Kurds, along with Kurds from Iran, Iraq, and Syria; the group is outlawed in Turkey (2018) |
