| Military and Security | Russia |
| --- | --- |
| Military and security forces: | Armed Forces of the Russian Federation: Ground Troops (Sukhoputnyye Voyskia, SV), Navy (Voyenno-Morskoy Flot, VMF), Aerospace Forces (Vozdushno-Kosmicheskiye Sily, VKS); Airborne Troops (Vozdushno-Desantnyye Voyska, VDV), and Missile Troops of Strategic Purpose (Raketnyye Voyska Strategicheskogo Naznacheniya, RVSN) referred to commonly as Strategic Rocket Forces, are independent "combat arms," not subordinate to any of the three branches |
| Military and security forces: | Federal National Guard Troops Service of the Russian Federation (National Guard, Russian Guard, or Rosgvardiya): created in 2016 as an independent agency for internal/regime security, combating terrorism and narcotics trafficking, protecting important state facilities and government personnel, and supporting border security; forces include Interior Troops that formerly belong to the Interior Ministry, special police units, rapid response units, and other air, ground, maritime, and police forces |
| Military and security forces: | Federal Security Services Border Troops (includes land and maritime forces) (2019) |
| Military expenditures: | 3.9% of GDP (2019) |
| Military expenditures: | 3.8% of GDP (2018) |
| Military expenditures: | 4.2% of GDP (2017) |
| Military expenditures: | 5.5% of GDP (2016) |
| Military expenditures: | 4.9% of GDP (2015) |
| Military and security service personnel strengths: | size estimates for the Armed Forces of the Russian Federation vary; approximately 900,000 total active duty troops (400,000 Ground Troops, including 40,000 Airborne Troops; 150,000 Navy; 200,000 Aerospace Forces; 60,000 Strategic Rocket Forces; 90,000 other uniformed personnel (special forces, command and control, support, etc.); est. 200,000 Federal National Guard Troops (2019 est.) |
| Military equipment inventories and acquisitions: | the Russian Federation's military and paramilitary services are equipped with domestically-produced weapons systems, although since 2010 Russia has imported limited amounts of military hardware from Czechia, France, Israel, Italy, Turkey, and Ukraine; the Russian defense industry is capable of designing, developing, and producing a full range of advanced air, land, missile, and naval systems (2019) |
| Military deployments: | est. 3,000-5,000 Armenia; est. 1,500 Belarus; est. 7,000-10,000 Georgia; est. 500 Kyrgyzstan; est. 1,500 Moldova; est. 4,000-5,000 Syria; est. 5,000-7,000 Tajikistan; est. 25,000-31,000 Ukraine; contributes approximately 8,000 personnel to CSTO's Rapid Reaction Force (2019) |
| Military deployments: | as of the Fall of 2020, it was assessed that there were approximately 2,000 personnel from a Russian Government-backed private military company in Libya supporting Libyan National Army forces; in addition, there were approximately 2,000 Russian-backed Syrian fighters in Libya |
| Military service age and obligation: | 18-27 years of age for compulsory or voluntary military service; males are registered for the draft at 17 years of age; one-year service obligation (Russia offers the option of serving on a two-year contract instead of completing a one-year conscription period); reserve obligation for non-officers to age 50; enrollment in military schools from the age of 16, cadets classified as members of the armed forces (2019) |
| Military service age and obligation: | note: in April of 2019, the Russian government pledged its intent to end conscription |
