| Military and Security | Cyprus |
| --- | --- |
| Military expenditures: | 1.57% of GDP (2018) |
| Military expenditures: | 1.63% of GDP (2017) |
| Military expenditures: | 1.78% of GDP (2016) |
| Military expenditures: | 1.68% of GDP (2015) |
| Military expenditures: | 1.54% of GDP (2014) |
| Military and security forces: | Republic of Cyprus: Cypriot National Guard (Ethniki Froura, EF, includes ground, naval, and air elements); "Turkish Republic of Northern Cyprus": Turkish Cypriot Security Force (GKK) (2019) |
| Military service age and obligation: | Cypriot National Guard (CNG): 18-50 years of age for compulsory military service for all Greek Cypriot males; 17 years of age for voluntary service; 14-month service obligation (2016) |
| Military - note: | The United Nations Peacekeeping Force in Cyprus (UNICYP) was set up in 1964 to prevent further fighting between the Greek Cypriot and Turkish Cypriot communities on the island and bring about a return to normal conditions.Â  The UNICYP mission currently consists of almost 1,100 personnel. (2019) |
