| Military and Security | Cyprus |
| --- | --- |
| Military and security forces: | Republic of Cyprus: Cypriot National Guard (Ethniki Froura, EF, includes Army Land Forces, Naval Command, Air Command) (2020) |
| Military expenditures: | 1.6% of GDP (2019) |
| Military expenditures: | 1.8% of GDP (2018) |
| Military expenditures: | 1.6% of GDP (2017) |
| Military expenditures: | 1.4% of GDP (2016) |
| Military expenditures: | 1.7% of GDP (2015) |
| Military and security service personnel strengths: | the Cypriot National Guard has approximately 13-15,000 total active duty personnel (2019 est.) |
| Military equipment inventories and acquisitions: | the inventory of the Cypriot National Guard is a mix of Soviet-era and some more modern weapons systems; since 2010, it has received equipment from France, Israel, Italy, Oman, and Russia (2019 est.) |
| Military service age and obligation: | Cypriot National Guard (CNG): 18-50 years of age for compulsory military service for all Greek Cypriot males; 17 years of age for voluntary service; 12-month service obligation (2019) |
| Military - note: | the United Nations Peacekeeping Force in Cyprus (UNICYP) was set up in 1964 to prevent further fighting between the Greek Cypriot and Turkish Cypriot communities on the island and bring about a return to normal conditions; as of March 2020, the UNICYP mission consisted of about 830 personnel (2020) |
