| Military and Security | Seychelles |
| --- | --- |
| Military and security forces: | Seychelles Peopleâ€™s Defence Forces (SPDF): Army (includes infantry, Special Forces (Tazar), and Presidential Security Unit), Coast Guard, and Air Force (2019) |
| Military expenditures: | 1.3% of GDP (2019) |
| Military expenditures: | 1.44% of GDP (2018) |
| Military expenditures: | 1.57% of GDP (2017) |
| Military expenditures: | 1.29% of GDP (2016) |
| Military expenditures: | 1.21% of GDP (2015) |
| Military and security service personnel strengths: | the Seychelles Peopleâ€™s Defence Forces (SPDF) is comprised of about 500 personnel (200 Land Forces; 200 Coast Guard; 100 Air Force) (2019) |
| Military equipment inventories and acquisitions: | the SPDF's inventory primarily consists of Soviet-era equipment delivered in the 1970s and 1980s; since 2010, China and India are the leading suppliers of newer equipment (mostly donations of patrol boats and aircraft) (2019 est.) |
| Military service age and obligation: | 18-28 years of age for voluntary military service (18-25 for officers); 6-year initial commitment; no conscription (2019) |
